"Rank","Player","Year","Pos","Team","AAV",""
"","Kyle Palmieri","2023","RW","NYI","$5,000,000",""
"","Jean-Gabriel Pageau","2023","C","NYI","$5,000,000",""
"","Josh Bailey","2023","LW","NYI","$5,000,000",""
"","Tyler Johnson","2023","C","CHI","$5,000,000",""
"","T.J. Brodie","2023","D","TOR","$5,000,000",""
"","Thatcher Demko","2023","G","VAN","$5,000,000",""
"","Cal Petersen","2023","G","PHI","$5,000,000",""
"","Joel Farabee","2023","LW","PHI","$5,000,000",""
"","Anthony DeAngelo","2023","D","PHI","$5,000,000",""
"","Samuel Girard","2023","D","COL","$5,000,000",""
"","Ryan Strome","2023","C","ANA","$5,000,000",""
"","Mikael Granlund","2023","C","PIT","$5,000,000",""
"","Rickard Rakell","2023","C","PIT","$5,000,000",""
"","Robin Lehner","2023","G","VGK","$5,000,000",""
"","Reilly Smith","2023","RW","VGK","$5,000,000",""
"","Jonathan Marchessault","2023","C","VGK","$5,000,000",""
"","Juuse Saros","2023","G","NSH","$5,000,000",""
"","Dylan Strome","2023","C","WAS","$5,000,000",""
"","Linus Ullmark","2023","G","BOS","$5,000,000",""
"","Jared McCann","2023","LW","SEA","$5,000,000",""
"","Drake Batherson","2023","C","OTT","$4,975,000",""
"","Noah Hanifin","2023","D","CGY","$4,950,000",""
"","Conor Garland","2023","RW","VAN","$4,950,000",""
"","Blake Coleman","2023","C","CGY","$4,900,000",""
"","Michael Matheson","2023","D","MTL","$4,875,000",""
"","Elias Lindholm","2023","C","CGY","$4,850,000",""
"","Jesperi Kotkaniemi","2023","C","CAR","$4,820,000",""
"","Ilya Mikheyev","2023","LW","VAN","$4,750,000",""
"","Pavel Zacha","2023","C","BOS","$4,750,000",""
"","Ben Chiarot","2023","D","DET","$4,750,000",""
"","David Perron","2023","LW","DET","$4,750,000",""
"","Ville Husso","2023","G","DET","$4,750,000",""
"","Victor Olofsson","2023","RW","BUF","$4,750,000",""
"","Alex Tuch","2023","RW","BUF","$4,750,000",""
"","Kevin Labanc","2023","RW","SJS","$4,725,000",""
"","Jakob Chychrun","2023","D","OTT","$4,600,000",""
"","Artem Zub","2023","D","OTT","$4,600,000",""
"","Jamie Oleksiak","2023","D","SEA","$4,600,000",""
"","Rasmus Andersson","2023","D","CGY","$4,550,000",""
"","Brandon Saad","2023","LW","STL","$4,500,000",""
"","Chris Tanev","2023","D","CGY","$4,500,000",""
"","Spencer Knight","2023","G","FLA","$4,500,000",""
"","Nikita Zaitsev","2023","D","CHI","$4,500,000",""
"","Artturi Lehkonen","2023","LW","COL","$4,500,000",""
"","Josh Manson","2023","D","COL","$4,500,000",""
"","Mike Hoffman","2023","LW","MTL","$4,500,000",""
"","Tyson Barrie","2023","D","NSH","$4,500,000",""
"","Mason Marchment","2023","LW","DAL","$4,500,000",""
"","Alexander Wennberg","2023","C","SEA","$4,500,000",""
"","Christian Dvorak","2023","C","MTL","$4,450,000",""
"","Filip Chytil","2023","LW","NYR","$4,437,500",""
"","Sam Bennett","2023","C","FLA","$4,425,000",""
"","Connor Murphy","2023","D","CHI","$4,400,000",""
"","Filip Hronek","2023","D","VAN","$4,400,000",""
"","John Marino","2023","D","NJD","$4,400,000",""
"","Lawson Crouse","2023","LW","ARI","$4,300,000",""
"","Mattias Samuelsson","2023","D","BUF","$4,285,714",""
"","Tyler Toffoli","2023","RW","CGY","$4,250,000",""
"","Viktor Arvidsson","2023","LW","LAK","$4,250,000",""
"","Andreas Athanasiou","2023","C","CHI","$4,250,000",""
"","Trevor Moore","2023","LW","LAK","$4,200,000",""
"","Carter Verhaeghe","2023","C","FLA","$4,166,667",""
"","Anthony Beauvillier","2023","LW","VAN","$4,150,000",""
"","Michael Anderson","2023","D","LAK","$4,125,000",""
