"Rank","Player","Year","Pos","Team","AAV",""
"","Alperen Sengun","2023","C","HOU","$3,887,744",""
"","Tari Eason","2023","PF","HOU","$4,064,312",""
"","Mike Muscala","2023","C","WAS","$3,500,000",""
"","Andre Drummond","2023","C","CHI","$3,280,000",""
"","Trey Murphy III","2023","SF","NOP","$3,694,854",""
"","Dalen Terry","2023","SG","CHI","$3,862,940",""
"","Jake LaRavia","2023","PF","MEM","$3,690,842",""
"","Tre Mann","2023","PG","OKC","$3,511,803",""
"","Malaki Branham","2023","SG","SAS","$3,544,358",""
"","Michael Carter-Williams","2023","PG","ORL","$1,851,987",""
"","Kai Jones","2023","PF","CHA","$3,355,304",""
"","Simone Fontecchio","2023","SF","UTA","$3,125,000",""
"","Jordan Nwora","2023","SF","IND","$2,900,000",""
"","Kevin Knox","2023","SF","POR","$3,000,000",""
"","Christian Braun","2023","SG","DEN","$3,442,289",""
"","Jalen Johnson","2023","SF","ATL","$3,222,146",""
"","Walker Kessler","2023","C","UTA","$3,343,105",""
"","Keon Johnson","2023","SG","POR","$3,129,323",""
"","David Roddy","2023","PF","MEM","$3,246,472",""
"","Isaiah Jackson","2023","PF","IND","$3,039,165",""
"","MarJon Beauchamp","2023","SG","MIL","$3,152,399",""
"","Usman Garuba","2023","PF","HOU","$2,951,349",""
"","Damian Jones","2023","C","UTA","$2,442,525",""
"","Kris Dunn","2023","PG","UTA","$1,661,152",""
"","Bruno Fernando","2023","C","ATL","$2,717,391",""
"","Willy Hernangomez","2023","C","NOP","$2,443,581",""
"","Blake Wesley","2023","SG","SAS","$3,060,182",""
"","Charles Bassey","2023","C","SAS","$2,550,000",""
"","Josh Christopher","2023","SG","HOU","$2,865,804",""
"","Wendell Moore Jr.","2023","SG","MIN","$2,959,891",""
"","Luke Kornet","2023","C","BOS","$2,273,291",""
"","Shaquille Harrison","2023","PG","LAL","$1,212,782",""
"","P.J. Dozier","2023","PG","SAC","$1,476,377",""
"","John Konchar","2023","SG","MEM","$2,250,000",""
"","Quentin Grimes","2023","SG","NYK","$2,782,011",""
"","Nikola Jovic","2023","SF","MIA","$2,875,384",""
"","Patrick Baldwin Jr.","2023","SF","WAS","$3,498,319",""
"","TyTy Washington Jr.","2023","PG","HOU","$2,837,415",""
"","Jordan McLaughlin","2023","PG","MIN","$2,160,000",""
"","Nah'Shon Hyland","2023","PG","LAC","$2,690,810",""
"","Peyton Watson","2023","SG","DEN","$2,816,879",""
"","Cameron Thomas","2023","SG","BKN","$2,613,962",""
"","Edmond Sumner","2023","SG","BKN","$2,104,059",""
"","Jevon Carter","2023","PG","MIL","$2,169,972",""
"","Vlatko Cancar","2023","PF","DEN","$2,271,775",""
"","Jaden Springer","2023","PG","PHI","$2,598,371",""
"","Day'Ron Sharpe","2023","C","BKN","$2,579,451",""
"","Bol Bol","2023","PF","ORL","$2,200,000",""
"","Santi Aldama","2023","C","MEM","$2,560,843",""
"","Andrew Nembhard","2023","PG","IND","$2,145,792",""
"","Luka Samanic","2023","PF","UTA","$1,249,690",""
"","DaQuan Jeffries","2023","SG","NYK","$1,183,293",""
"","Isaiah Roby","2023","PF","NYK","$1,233,293",""
"","Kobi Simmons","2023","PG","CHA","$1,049,690",""
"","Goga Bitadze","2023","C","ORL","$1,339,383",""
"","Garrison Mathews","2023","SG","ATL","$2,057,563",""
"","Jaylin Williams","2023","C","OKC","$2,051,850",""
"","Caleb Houstan","2023","SF","ORL","$2,051,850",""
"","Vernon Carey Jr.","2023","C","UTA","$1,048,619",""
"","Nathan Knight","2023","PF","MIN","$1,916,664",""
"","Anthony Gill","2023","PF","WAS","$1,916,664",""
"","RJ Hampton","2023","PG","DET","$1,241,321",""
"","Isaiah Joe","2023","SG","OKC","$1,999,440",""
"","Admiral Schofield","2023","SF","ORL","$1,251,873",""
"","Sam Merrill","2023","SG","CLE","$1,670,744",""
"","Naji Marshall","2023","SF","NOP","$1,337,821",""
"","Xavier Tillman","2023","C","MEM","$1,533,534",""
"","Kenyon Martin Jr.","2023","SF","HOU","$1,532,398",""
"","Lamar Stevens","2023","SF","CLE","$1,470,912",""
"","Jordan Goodwin","2023","PG","PHX","$1,640,080",""
"","Ishmail Wainright","2023","SF","PHX","$1,201,374",""
"","Sam Hauser","2023","SF","BOS","$1,886,069",""
"","Jericho Sims","2023","C","NYK","$1,886,069",""
"","Eugene Omoruyi","2023","SF","DET","$1,098,671",""
"","Kessler Edwards","2023","SF","SAC","$1,782,931",""
"","Lindy Waters III","2023","SF","OKC","$3,144,752",""
"","Carlik Jones","2023","PG","CHI","$1,459,319",""
"","Joe Wieskamp","2023","SF","TOR","$1,236,943",""
"","Jeremiah Robinson-Earl","2023","PF","OKC","$1,972,150",""
"","Vit Krejci","2023","PG","ATL","$1,578,368",""
"","Isaiah Todd","2023","PF","PHX","$1,724,924",""
"","Brandon Boston Jr","2023","SG","LAC","$1,441,624",""
"","Jason Preston","2023","PG","LAC","$1,487,306",""
"","Jose Alvarado","2023","PG","NOP","$1,722,053",""
"","Herbert Jones","2023","SF","NOP","$1,773,699",""
"","Trendon Watford","2023","PF","POR","$1,456,174",""
"","Miles McBride","2023","PG","NYK","$1,441,624",""
"","Isaiah Livers","2023","SF","DET","$1,485,625",""
"","Aaron Wiggins","2023","SG","OKC","$1,597,053",""
"","JT Thor","2023","PF","CHA","$1,659,553",""
"","Marko Simonovic","2023","C","CHI","$1,441,624",""
"","Daishen Nix","2023","PG","HOU","$1,500,053",""
"","Tyrese Martin","2023","SF","ATL","$1,368,823",""
"","Josh Minott","2023","SF","MIN","$1,736,199",""
"","Jaden Hardy","2023","SG","DAL","$1,585,781",""
"","Xavier Cooks","2023","PF","WAS","$1,516,850",""
"","Ryan Rollins","2023","SG","WAS","$1,585,781",""
"","Jabari Walker","2023","SF","POR","$1,585,781",""
"","Jeenathan Williams","2023","SG","POR","$886,254",""
"","Max Christie","2023","SG","LAL","$1,368,823",""
"","Kenneth Lofton Jr.","2023","PF","MEM","$1,731,754",""
"","Bryce McGowens","2023","SG","CHA","$1,750,504",""
"","Christian Koloko","2023","C","TOR","$1,746,521",""
