"Rank","Player","Year","Pos","Team","AAV",""
"","Geno Smith","2023","QB","SEA","$25,000,000",""
"","Brandon Graham","2023","DE","PHI","$5,000,000",""
"","Tony Pollard","2023","RB","DAL","$10,091,000",""
"","Saquon Barkley","2023","RB","NYG","$10,091,000",""
"","Josh Jacobs","2023","RB","LV","$10,091,000",""
"","Xavien Howard","2023","CB","MIA","$18,000,000",""
"","Dre'Mont Jones","2023","DE","SEA","$17,176,667",""
"","Trevor Lawrence","2023","QB","JAC","$9,198,372",""
"","Sam Hubbard","2023","DE","CIN","$10,000,000",""
"","Stephon Gilmore","2023","CB","DAL","$10,000,000",""
"","Rob Havenstein","2023","RT","LAR","$11,500,000",""
"","Tua Tagovailoa","2023","QB","MIA","$7,568,860",""
"","Quinnen Williams","2023","DT","NYJ","$8,132,343",""
"","Zach Wilson","2023","QB","NYJ","$8,787,670",""
"","Austin Johnson","2023","DT","LAC","$7,000,000",""
"","Jessie Bates III","2023","S","ATL","$16,005,000",""
"","James Conner","2023","RB","ARI","$7,000,000",""
"","Michael Davis","2023","CB","LAC","$8,400,000",""
"","T.J. Hockenson","2023","TE","MIN","$4,955,306",""
"","La'el Collins","2023","RT","CIN","$7,000,000",""
"","Trey Lance","2023","QB","SF","$8,526,319",""
"","Taron Johnson","2023","CB","BUF","$8,000,000",""
"","Terron Armstead","2023","LT","MIA","$15,000,000",""
"","Will Dissly","2023","TE","SEA","$8,000,000",""
"","Tyler Higbee","2023","TE","LAR","$7,250,000",""
"","Derwin James","2023","S","LAC","$19,133,000",""
"","Denico Autry","2023","DE","TEN","$7,166,667",""
"","Austin Ekeler","2023","RB","LAC","$6,125,000",""
"","Fred Warner","2023","ILB","SF","$19,045,000",""
"","Sebastian Joseph","2023","DE","LAC","$8,000,000",""
"","Roquan Smith","2023","ILB","BAL","$20,000,000",""
"","Kyle Pitts","2023","TE","ATL","$8,227,624",""
"","Amani Hooker","2023","S","TEN","$10,000,000",""
"","Andrus Peat","2023","G","NO","$11,500,000",""
"","Foyesade Oluokun","2023","ILB","JAC","$15,000,000",""
"","Alex Cappa","2023","G","CIN","$8,750,000",""
"","Deatrich Wise","2023","DE","NE","$5,500,000",""
"","Logan Thomas","2023","TE","WAS","$8,021,667",""
"","Deebo Samuel","2023","WR","SF","$23,850,000",""
"","Chris Godwin","2023","WR","TB","$20,000,000",""
"","Daron Payne","2023","DT","WAS","$22,500,000",""
"","DaQuan Jones","2023","DT","BUF","$7,000,000",""
"","A.J. Brown","2023","WR","PHI","$25,000,000",""
"","Travon Walker","2023","OLB","JAC","$9,343,155",""
"","Jacoby Brissett","2023","QB","WAS","$8,000,000",""
"","Justin Herbert","2023","QB","LAC","$6,644,689",""
"","Ja'Marr Chase","2023","WR","CIN","$7,704,910",""
"","David Njoku","2023","TE","CLE","$13,687,500",""
"","Connor Williams","2023","C","MIA","$7,017,500",""
"","Mark Glowinski","2023","G","NYG","$6,100,000",""
"","Gerald Everett","2023","TE","LAC","$6,000,000",""
"","Aaron Jones","2023","RB","GB","$12,000,000",""
"","Kenny Moore","2023","CB","IND","$8,325,000",""
"","Alvin Kamara","2023","RB","NO","$15,000,000",""
"","Aidan Hutchinson","2023","DE","DET","$8,928,347",""
"","Tyron Smith","2023","LT","DAL","$12,200,000",""
"","Cedrick Wilson","2023","WR","MIA","$7,350,000",""
"","David Onyemata","2023","DT","ATL","$11,666,667",""
"","D.J. Reed","2023","CB","NYJ","$11,000,000",""
"","Von Miller","2023","DE","BUF","$20,000,000",""
"","Chidobe Awuzie","2023","CB","CIN","$7,250,000",""
